beamA	beamZ	targetA	targetZ	
3	2	4	2
 
ObsPoint_E	pnA*1s	targetPres	targetTemp	colSize(mm)	
0.875757	60000	5	21	1
 
Angle	Total	Error	Recoils	Error	Ejectiles	Error	
22.5	25607	160	592	24	25015	158
25	15651	125	535	23	15116	122
30	6774	82	549	23	6225	78
35	3511	59	529	23	2982	54
40	2227	47	606	24	1621	40
45	1606	40	707	26	899	29
55	1425	37	1060	32	365	19
60	1845	42	1605	40	240	15
65	2585	50	2426	49	159	12
75	183	13	88	9	95	9
90	46	6	0	0	46	6
120	13	3	0	0	13	3
135	3	1	0	0	3	1
