beamA	beamZ	targetA	targetZ	
9	18	1	1
 
ObsPoint_E	pnA*1s	targetPres	targetTemp	colSize(mm)	
12.9998	1000	7.45	21	3
 
Angle	Total	Error	Recoils	Error	Ejectiles	Error	
22.5	0	0	0	0	0	0
25	0	0	0	0	0	0
30	0	0	0	0	0	0
35	0	0	0	0	0	0
40	0	0	0	0	0	0
45	0	0	0	0	0	0
55	0	0	0	0	0	0
60	0	0	0	0	0	0
65	0	0	0	0	0	0
75	0	0	0	0	0	0
90	0	0	0	0	0	0
120	0	0	0	0	0	0
135	0	0	0	0	0	0
